dataset_id,datasets_order,country_allocation_stats_only,local_buffer,presence_only_flag,dataset_name,prep_script_path,variable_name,asset_id
1,1,,0,0,GFC_Tree_Cover_2020,datasets/glad_gfc.py ,gfc_treecover_2020_area_hectares,"ee.Image(""UMD/hansen/global_forest_change_2022_v1_10"");"
2,2,,0,0,ESRI_Trees_2020,datasets/esri_lulc_trees.py,esri_trees_2020_area_hectares,"ee.ImageCollection(""projects/sat-io/open-datasets/landcover/ESRI_Global-LULC_10m_TS"");"
3,3,,0,0,JAXA_Forest_non_forest_2020,datasets/jaxa_forest.py,JAXA_forestNonForest_2020_area_hectares,ee.ImageCollection('JAXA/ALOS/PALSAR/YEARLY/FNF4');
4,4,,0,0,GLAD_LULC_Stable_Tree_2020,datasets/glad_lulc_stable.py,glad_stable_tree_2020_area_hectares,ee.Image('projects/glad/GLCLU2020/v2/LCLUC_2020');
5,5,,0,0,TMF_undisturbed_forest_2020,datasets/jrc_tmf_undisturbed.py,JRC_TMF_undisturbed_2020_area_hectares,ee.ImageCollection('projects/JRC/TMF/v1_2021/TransitionMap_Subtypes');
6,6,,0,0,Primary_Humid_Tropical_Forest_2020,datasets/glad_pht.py,primary_HT_forests_2020_area_hectares,ee.ImageCollection('UMD/GLAD/PRIMARY_HUMID_TROPICAL_FORESTS/v1')
7,7,,0,0,TMF_disturbed_forest_2020,datasets/jrc_tmf_disturbed.py,JRC_TMF_disturbed_2020_area_hectares,ee.ImageCollection('projects/JRC/TMF/v1_2021/TransitionMap_Subtypes');
8,8,,1,1,Local_RADD_alerts,datasets/wur_radd_alerts.py,latest_radd_alert_confirmed_recent_area_hectares,ee.ImageCollection('projects/radar-wur/raddalert/v1');
9,9,,0,0,TMF_plantation,datasets/jrc_tmf_plantations.py,JRC_TMF_plantation_area_hectares,ee.ImageCollection('projects/JRC/TMF/v1_2021/TransitionMap_Subtypes');
10,10,,0,0,Oil_palm_Descals,datasets/creaf_descals_palm.py,oil_palm_descals_binary_area_hectares,ee.ImageCollection('BIOPAMA/GlobalOilPalm/v1');
11,11,,0,0,FDaP_palm_plantations,datasets/fdap_palm.py,FDaP_palm_2020_model_area_hectares,"ee.ImageCollection(""projects/forestdatapartnership/assets/palm/palm_2020_model_20231026"");"
12,12,,0,0,Cocoa_plantations_Kalischek,datasets/eth_kalischek_cocoa.py,cocoa_map_kalischek_threshold_area_hectares,ee.Image('projects/ee-nk-cocoa/assets/cocoa_map_threshold_065');
13,13,,0,0,Protected_area,datasets/wcmc_wdpa_protection.py,protected_areas_WDPA_area_hectares,"ee.FeatureCollection(""WCMC/WDPA/current/polygons"");"
14,14,,0,1,Other_Effective_area_based_Conservation_Measure,datasets/wcmc_oecms_protection.py,OECM_2023_area_hectares,"ee.FeatureCollection([ee.FeatureCollection(""projects/ee-andyarnellgee/assets/p0004_commodity_mapper_support/raw/WDPA_OECM_polygons1""),ee.FeatureCollection(""projects/ee-andyarnellgee/assets/p0004_commodity_mapper_support/raw/WDPA_OECM_polygons2""),ee.FeatureCollection(""projects/ee-andyarnellgee/assets/p0004_commodity_mapper_support/raw/WDPA_OECM_polygons3"")]).flatten();"
15,15,,0,1,Key_Biodiversity_Area,datasets/birdlife_kbas_biodiversity.py,kba_2023_area_hectares,"ee.FeatureCollection(""projects/ee-andyarnellgee/assets/p0004_commodity_mapper_support/raw/KBAsGlobal_2023_March_01_POL"");"
16,16,1,0,0,GAUL_boundaries_adm0_code_reproj,datasets/fao_gaul_countries.py,GAUL_boundaries_adm0_code_reproj,"ee.FeatureCollection(""FAO/GAUL/2015/level0"");"
