name,order,theme,use_for_risk,exclude_from_input,exclude_from_output,col_type,is_nullable,is_required,corresponding_variable
Plot_id,-10,context_and_metadata,NA,NA,0,string,1,0,plot_id_column
Geo_id,-9,context_and_metadata,NA,NA,0,string,1,0,geo_id_column
Plot_area_ha,-8,context_and_metadata,NA,NA,0,float32,1,1,geometry_area_column
Geometry_type,-7,context_and_metadata,NA,NA,0,string,1,1,geometry_type_column
Country,-6,context_and_metadata,NA,NA,0,string,1,1,country_column
Admin_Level_1,-5,context_and_metadata,NA,NA,0,string,1,1,admin_1_column
Centroid_lon,-4,context_and_metadata,NA,NA,0,float64,1,1,centroid_x_coord_column
Centroid_lat,-3,context_and_metadata,NA,NA,0,float64,1,1,centroid_y_coord_column
Unit,-2,context_and_metadata,NA,NA,0,string,1,1,stats_unit_type_column
In_waterbody,-1,context_and_metadata,0,NA,0,string,1,1,water_flag
